Metabolite name	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
Valine (1TMS)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32422	NA	NA	NA	NA	NA	NA	28914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40923	NA	NA	NA	NA	NA	NA
Siloxane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17702	NA	NA	NA	NA	NA	NA	NA	NA	NA	22731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Valine (1TMS)	NA	NA	NA	29613	NA	NA	NA	NA	66603	NA	61391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Propanoic acid, 2-amino-3-ureido- (1TMS)"	NA	NA	NA	NA	23163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16014	NA	NA	NA	190294	NA	NA	26511	NA	NA	NA	32943	NA	NA	NA
Cysteine_4TMS	NA	NA	32721	38337	38321	41513	NA	NA	42040	NA	32890	NA	NA	NA	NA	NA	37543	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31149	NA	22161	NA	NA	NA	NA	26844	NA	25978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pyridine, 2-hydroxy- (1TMS)"	3087845	11746429	11807539	11645275	NA	NA	1868870	9564662	12824326	NA	12595857	10166203	NA	10478680	NA	11147487	6933827	10579533	11013857	8466253	5416490	9811997	9047601	8251996	8916067	2634756	11318076	11913202	12363099	10008054	NA	10556813	10753989	NA	NA	11140935	NA	8698131	11039212	NA	11988389	9692154	11751920	NA	NA	12332794	10643416	12106356	12329633	9762118	11347890	11270084	NA	9077617	10705087	8533311	NA	NA	10326223	11163360	11536262	11583243	11244116	7633271	8439575
"Pyridine, 2-hydroxy- (1TMS)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3636764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4757657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4503430	NA	NA	3435600	NA	NA	NA
"Histamine, N-omega-acetyl- (2TMS)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	901588	NA	NA	NA	692267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Valeric acid, 2-oxo- (1MEOX) (1TMS) BP"	NA	NA	342901	NA	NA	259794	NA	NA	NA	NA	NA	NA	NA	NA	266427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4648463	NA	NA	NA	NA	NA	NA	NA	369912	NA	NA	NA	NA	303095	NA	NA	NA	NA	235121	NA	NA	295742	NA	NA	338951	NA	NA	NA	NA	NA	83889	255023	NA	NA	NA	NA	143058	NA	NA
Siloxane	47739	248653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226465	NA	NA	NA	NA	295323	NA	304424	NA	NA	NA	NA	NA	NA	NA	238099	NA	217529	182326	NA	345198	NA	239307	270085	294311	255524	256540	391166	NA	NA	NA	291179	271882	NA	318019	NA	NA	399319	NA	560550	350772	316319	425099	NA	NA	NA	281201	240707	NA
