sampleID,filename,date,time
BLK_1,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/BLK_1.mzXML,24-Jul,21:24:38
PB_PM1,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM1.mzXML,25-Jul,22:24:38
PB_PM10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM10.mzXML,25-Jul,23:24:38
PB_PM11,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM11.mzXML,25-Jul,00:24:38
PB_PM12,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM12.mzXML,25-Jul,01:24:38
PB_PM2,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM2.mzXML,25-Jul,02:24:38
PB_PM3,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM3.mzXML,26-Jul,03:24:38
PB_PM4,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM4.mzXML,26-Jul,04:24:38
PB_PM5,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM5.mzXML,25-Jul,05:24:38
PB_PM6,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM6.mzXML,26-Jul,06:24:38
PB_PM7,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM7.mzXML,25-Jul,07:24:38
PB_PM8,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM8.mzXML,26-Jul,08:24:38
PB_PM9,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PB_PM9.mzXML,26-Jul,09:24:38
PM1_D0,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D0.mzXML,26-Jul,10:24:38
PM1_D10,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D10.mzXML,24-Jul,11:24:38
PM1_D30,/Users/andreabonicelli/Documents/Forensomics/GC_MS/mandible_dataAnalysis/raw_mandible_GC/PM1_D30.mzXML,25-Jul,12:24:38
