Metabolite	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft33	5952867	15103224	9200219	6154350	5121116	7955775	5604743	14532199	11731561	10029364	9287453	10578996	11938710	19454137	7797311	9887617	9612772	1662476	NA	4204216	5531943	1159199	2415029	1172281	4215045	2538268	NA	5038043	8574730	14706580	5406045	2451159	6652200	7432442	7088997	1806969	4088429	6288847	1225489	589757	3176216	2135257	2382977	567077	2560027	3800115	1389446	1381802	2813006	7439770	1590143	5988827	5798614	504576	971349	556144	6078662	6432223	5648124	6040311	4993860	5444535
ft76	311407	237119	263769	280422	317368	228567	263325	356990	241217	273282	195716	273046	197520	291097	99242	265622	42413	33907	NA	59078	20590	27263	60721	NA	51565	6280	302324	254167	219831	293462	243569	253895	246295	266510	239974	265115	233571	295641	209519	43332	227858	217340	195097	254313	253354	224989	279668	200560	60319	294659	95345	52948	63079	55930	119607	NA	45427	53938	NA	47109	24244	34064
ft105	1317155	2906434	2167551	1804413	918899	3950443	1663196	1805723	2158130	2281995	2132030	2718459	5867982	14775839	3179934	4401148	1848051	544422	247765	1190894	2824486	935436	1682394	737514	1890124	1156816	9885779	2718327	3890674	8234869	3893398	2130185	4522508	5320453	4303354	1336298	4299454	2242051	656674	393084	1324373	1369540	797276	354284	1950950	2813402	1213733	1038379	2031177	4626527	1667371	5903329	2068076	569900	530136	735282	2271451	2507436	2052303	2504876	2018003	2221379
ft115	380655	1053877	779014	750814	951591	837822	428075	976808	836672	984527	945403	693163	674026	653502	898362	120093	376804	441960	583702	484734	570153	265235	274212	651215	466142	404072	659870	877300	382779	541174	928552	567649	807889	630902	652462	475822	641603	510131	550584	392667	579033	407899	475604	354848	469079	519768	519743	455875	251679	616257	396489	446931	513754	597514	461001	517620	617426	660011	696765	664028	540886	621562
ft145	34611	37446	76728	34814	94950	132633	71664	259850	58359	56579	75641	136921	38969	368972	64527	NA	16239	22224	31468	67288	44296	23850	24534	19096	47639	39076	36126	77051	215433	56019	71624	28394	49714	84738	84755	29830	83980	23105	23313	23170	36587	NA	21460	13486	18594	93080	19298	12194	10064	74079	13295	28620	14375	22371	29762	40367	59882	48979	49805	34828	40414	49335
ft135	4336803	6562626	4211089	4725944	4697373	3144140	4388974	3985197	2830919	6862380	4471018	2520803	82962	93273	74163	56631	1260856	537536	431303	1314394	1115169	501862	241417	170721	419241	1409697	148056	215588	197451	118894	1531075	542969	914564	1665802	1406218	621458	1436193	NA	447613	440253	921821	1092786	489447	213182	2010213	1015127	194121	366428	523269	1608886	305876	1675689	1791384	534796	216815	416981	1434122	1504041	1290430	1424110	1090806	1346459
ft134	1537252	2813623	2231323	2003078	NA	3904671	1627066	1944113	2369669	2189869	2126664	3039171	7281795	9359819	5538092	NA	1838658	426473	245427	1078411	2748047	659892	1761549	430323	1302102	632850	10541426	4324807	NA	6610944	4981743	2566683	5146597	6040873	4672412	1586915	4784162	2128282	735458	506356	NA	NA	1001009	432961	1416726	3026501	1442301	1107256	1248759	5094974	NA	5099825	NA	623544	651303	606499	2096041	NA	1777398	2332594	1822195	1990388
ft160	543614	1081040	847658	786803	342861	1715058	683901	751728	761773	865588	760006	1074527	2634769	5693196	2251337	1781812	1038357	246703	43628	607632	1492065	379142	1016885	239163	908323	473720	3501244	1298680	473022	2735957	2523072	1379148	2883275	3234597	2504601	899404	2133893	1141558	384258	270285	613124	752665	566019	210110	697848	1453035	827907	607214	764599	2620774	1120575	2738106	1036458	324246	442117	333965	1040656	1172193	900428	1148834	907457	980481
ft159	3149842	5622260	3765818	3464924	3008569	3125064	2090271	3606566	5101526	4813423	4602960	3348303	7809557	3974977	3763664	4602370	294396	135963	79489	212730	642334	194132	198818	166968	486643	123821	15928237	3177487	5564240	9946270	909320	504331	1026440	1162203	863793	284451	1069232	550382	101635	101058	231074	403364	128849	53172	502478	1076381	88634	184011	312503	1365669	240836	1764582	586174	139501	114349	265045	2376723	2622997	2376096	2378095	1934024	2296872
ft183	102399	131628	128532	63072	232894	222632	160474	336867	181026	122055	141841	197497	100823	171302	103900	39466	55578	39572	44207	42804	48213	48982	38139	43151	58487	55948	82088	66537	169655	115735	85077	33570	42779	42558	44116	39895	46257	44596	65294	NA	83535	38427	46513	34657	35486	47539	33975	34183	36744	70921	47665	43842	56831	73974	49572	30691	80496	83087	92441	82219	75231	91270
ft212	52658	55021	47192	50498	51073	47150	30618	53780	48664	60547	49093	48861	210314	38393	197704	103017	64083	62557	64897	52355	72513	NA	61596	56887	51777	61983	215357	72178	86561	174587	48402	61544	105492	51028	98045	119749	51189	51078	51924	190538	89860	56865	56043	49953	49241	54096	51416	44811	50735	196239	54119	70457	46996	54452	80141	68792	64787	65407	82885	63242	58954	56648
