,neutral_mass_da,m_z,charge,retention_time_min,chromatographic_peak_width_min,identifications,anova_p,q_value,max_fold_change,highest_mean,lowest_mean,isotope_distribution,maximum_abundance,minimum_cv,nist,no_id,accepted,accepted_compound_id,accepted_description,adducts,formula,score,fragmentation_score,mass_error_ppm,isotope_similarity,retention_time_error_mins
3.76_413.2388m/z,NA,413.2388448,1,3.763216667,0.177,1,2.76373368635063e-11,3.48560307952465e-10,77.75388582,PM,Blank,100 - 28.7 - 2.61,199.7766908,4.56,x,NA,x,3386-18-3,Nonaethylene glycol,M-H,C18H38O10,38.2,0,-0.908051416,92.20018271,NA
3.66_719.3050m/z,NA,719.3050167,1,3.6625,0.100533333,1,1.35018107805251e-10,8.07621136564824e-10,20.35769686,PM,Blank,100 - 46.1 - 8.55,267.5913208,3.46,x,NA,x,155213-67-5,Ritonavir,M-H,C37H48N6O5S2,37.5,0,-0.649033947,88.29855876,NA
4.17_660.3028m/z,NA,660.3027717,1,4.169716667,0.383233333,1,5.58649682069756e-10,2.11739133412855e-09,6.681394317,PM,Blank,100 - 50.7 - 21.4 - 22.1,521.7345045,2.2,x,NA,x,41849-35-8,10-Hydroxyaconitine,M-H,C34H47NO12,35.3,0,0.335995418,76.87741515,NA
1.60_485.2019m/z,NA,485.2018998,1,1.602616667,0.281783333,1,9.45599598622948e-10,3.00539775635225e-09,12.06883972,PM,Blank,100 - 11.6,63.05084492,9,x,NA,x,188400-61-5,"1H-Indole, 3-[3-[4-[2-(3,4-difluorophenyl)ethyl]-1-piperazinyl]propyl]-5-(4H-1,2,4-triazol-4-yl)-",M+Cl,C25H28F2N6,35.7,0,-4.115261757,83.15309955,NA
3.56_580.2446m/z,NA,580.2446181,1,3.56215,0.1251,1,1.03507780124801e-09,3.17531556685822e-09,47.3380992,PM,Blank,100 - 50.1 - 18.5,801.9314145,5.99,x,NA,x,1178882-56-8,"1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphoserine",M+Cl,C26H44NO9P,35.9,0,-0.278414302,79.74669117,NA
3.26_426.2338m/z,NA,426.2338203,1,3.260766667,0.176183333,1,1.59594248927419e-09,4.43920362356285e-09,18.58566822,PM,Blank,100 - 26.8,177.6079188,5.43,x,NA,x,S8AsVAPep8Ulkmn,20-Hydroxy-N-arachidonoyltaurine,M-H,C22H37NO5S,37.3,0,4.335840575,91.42358276,NA
3.81_561.2361m/z,NA,561.2360624,1,3.8141,0.152333333,1,4.13922829345381e-09,9.66974479275544e-09,10.15561397,PM,Blank,100 - 31,215.6549579,4.5,x,NA,x,155412-74-1,"(R)-1-[2,3-Dihydro-2-oxo-1-pivaloylmethyl-5-(2-pyridyl)-1H-1,4-benzodiazepin-3-yl]-3-(3-ethyl(methyl)aminophenyl)urea",M+Cl,C30H34N6O3,37.2,0,-4.898477872,91.87235094,NA
3.46_509.2715m/z,NA,509.2715385,1,3.46185,0.301,1,6.60942955921229e-09,1.42274947161415e-08,53.23424515,PM,Blank,100 - 26.7 - 9.36 - 1.37,2179.741933,6.7,x,NA,x,c87ZGmun9xfF7u0,Leukotriene D4 methyl ester,M-H,C26H42N2O6S,38.1,0,4.814718363,96.07923891,NA
1.35_218.0606m/z,NA,218.0605816,1,1.34785,0.38055,1,1.30775265061445e-08,2.51832974506522e-08,5.223799495,PM,Blank,100 - 3.5,55.76133746,6.52,x,NA,x,23135-22-0,Oxamyl,M-H,C7H13N3O3S,37.8,0,0.437162089,89.40172805,NA
1.60_410.2029m/z,NA,410.2029369,1,1.602616667,0.560066667,1,1.7719704370478e-08,3.23704584797987e-08,68.33294002,PM,Blank,100 - 15.9,258.5619066,3.63,x,NA,x,1893-33-0,Pipamperone,M+Cl,C21H30FN3O2,37.3,0,3.544839789,90.69958009,NA
