"","AlignID","tmean","FoundIn","Name.1","MatchFactor.1","DB.Id.1","CAS.1","Formula.1"
"ft33","ft33",6.3442,60,"Sarcosine (2TMS)","99.81","  56","7364-43-4","C9H23NO2Si2"
"ft76","ft76",7.6064,58,"Unknown#bth-pae-067","80.54"," 107","",""
"ft159","ft159",9.3,63,"NA","98.05","1498","",""
"ft212","ft212",10.6888,61,"Alanine (2TMS)","73.89","  40","2899-44-7","C9H23NO2Si2"
"ft275","ft275",11.7874,61,"Tricosane, n-","87.67","1672","638-67-5","C23H48"
"ft355","ft355",13.3519,62,"Phenylalanine (2TMS)","90.11"," 659","7364-51-4","C15H27NO2Si2"
"ft368","ft368",13.9644,59,"NA","88.17"," 770","",""
"ft385","ft385",14.0802,64,"Arabinose (1MEOX) (4TMS) MP","98.96"," 712","","C18H45NO5Si4"
"ft403","ft403",15.2944,59,"Hypoxanthine (2TMS)","95.94"," 977","","C11H20N4OSi2"
"ft481","ft481",16.2154,52,"Psicose (1MEOX) (5TMS) BP","97.92","1048","","C22H55NO6Si5"
"ft487","ft487",16.3187,54,"Fructose (1MEOX) (5TMS) BP","93.78","1108","","C22H55NO6Si5"
"ft482","ft482",16.4879,63,"NA","90.55","1384","",""
"ft502","ft502",16.7568,55,"Phosphoric acid (3TMS)","91.63"," 185","10497-05-9","C9H27O4PSi3"
"ft556","ft556",18.3597,55,"Inositol, myo- (6TMS)","94.82","1440","","C24H60O6Si6"
"ft589","ft589",19.5087,62,"Octadecadienoic acid, 9,12-(Z,Z)- (1TMS)","97.01","1590","","C21H40O2Si"
"ft632","ft632",20.459,61,"Eicosatetraenoic acid, 5,8,11,14-(Z,Z,Z,Z)- (1TMS)","95.24","1732","","C23H40O2Si"
"ft624","ft624",20.7198,55,"2-Hydroxyhexadecanoic_acid_1MeO_1TMS","60.72","1495","",""
"ft627","ft627",20.7939,57,"Octadecadienoic acid, n- (1TMS)","89.17","1610","","C21H40O2Si"
"ft628","ft628",20.8771,52,"Hexadecanoic acid methyl ester (FAME MIX)","84.70","1214","112-39-0","C17H34O2"
"ft625","ft625",20.9424,65,"NA","75.69","1768","",""
"ft655","ft655",21.1988,56,"Muramic acid, N-acetyl- (1MEOX) (4TMS) BP","74.69","1661","","C24H54N2O8Si4"
"ft750","ft750",22.7067,61,"Xylulose (1MEOX) (4TMS) MP","75.52"," 736","","C18H45NO5Si4"
"ft757","ft757",22.8691,58,"NA","86.04","1198","",""
"ft769","ft769",23.2081,58,"2-Monooleoylglycerol_2TMS","98.37","1994","",""
"ft773","ft773",23.4682,62,"1-Oleoyl-rac-glycerol (2TMS)","92.02","2048","","C27H56O4Si2"
